Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks,CoordinatesDecimal,Distance,Source
,ES,DEP,San Martín De Pusa,San Martin De Pusa,TO,RL,-----6--,2001,,3947N 00438W,,"39.7826821,-4.6336085",792,https://www.openstreetmap.org/relation/347921
,ES,DEU,Deusto,Deusto,BI,RL,--3-----,1001,,4317N 00256W,,"43.28333,-2.93333",2,UN/LOCODE
,ES,DEV,Ocana,Ocana,TO,RL,--3-----,1501,,3956N 00331W,,"39.93333,-3.51667",3,UN/LOCODE
,ES,DEX,Sajazarra,Sajazarra,LO,RL,--3-----,1307,,4235N 00257W,,"42.58333,-2.95000",1,UN/LOCODE
,ES,DFE,Olombrada,Olombrada,SG,RL,--3-----,1307,,4125N 00409W,,"41.41667,-4.15000",1,UN/LOCODE
,ES,DFG,Pantón,Panton,LU,RL,--3-----,1307,,4231N 00736W,,"42.51667,-7.60000",4,UN/LOCODE
,ES,DFR,Colloto,Colloto,O,RL,--3-----,1307,,4323N 00548W,,"43.38333,-5.80000",1,UN/LOCODE
,ES,DFT,Deifontes,Deifontes,GR,RL,--3-----,1407,,3719N 00336W,,"37.31667,-3.60000",1,UN/LOCODE
,ES,DFX,Casas de Haro,Casas de Haro,CU,RL,--3-----,1307,,3920N 00216W,,"39.33333,-2.26667",1,UN/LOCODE
,ES,DGC,Santo Domingo de la Calzada,Santo Domingo de la Calzada,LO,RL,-23-----,0701,,4226N 00257W,,"42.43333,-2.95000",1,UN/LOCODE
,ES,DGD,La Almunia de Doña Godina,La Almunia de Dona Godina,Z,RL,-23-----,1207,,4129N 00122W,,"41.48333,-1.36667",1,UN/LOCODE
,ES,DGS,Villandangos,Villandangos,A,RL,1-------,0901,,4231N 00546W,,"42.51667,-5.76667",N/A (coordinate of another UN/LOCODE used),ESVPR
,ES,DHM,Dos Hermanas,Dos Hermanas,,RL,--3-----,9501,,3717N 00555W,,"37.2836890,-5.9226718",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/341615
,ES,DHO,Les Planes d'Hostoles,Les Planes d'Hostoles,B,RL,--3-----,0907,,4203N 00232E,,"42.05000,2.53333",1,UN/LOCODE
,ES,DIA,Cadiar,Cadiar,GR,RL,--3-----,1001,,3657N 00311W,,"36.95000,-3.18333",0,UN/LOCODE
,ES,DIJ,Cardenadijo,Cardenadijo,BU,AA,--3--6--,2007,,4218N 00340W,,"42.30000,-3.66667",0,UN/LOCODE
,ES,DIS,Dalías,Dalias,,RL,--3-----,0212,,3649N 00252W,,"36.81667,-2.86667",1,UN/LOCODE
,ES,DJD,Vilabella,Vilabella,T,RL,--3-----,1307,,4115N 00120E,,"41.25000,1.33333",0,UN/LOCODE
,ES,DJM,Vilarrodona,Vilarrodona,T,RL,--3-----,1307,,4118N 00122E,,"41.30000,1.36667",N/A (no Nominatim),UN/LOCODE
,ES,DKZ,Casas de los Pinos,Casas de los Pinos,CU,RL,--3-----,1307,,3920N 00222W,,"39.33333,-2.36667",0,UN/LOCODE
,ES,DLA,Aldeanueva de la Vera,Aldeanueva de la Vera,CC,RL,--3-----,1001,,4008N 00542W,,"40.13333,-5.70000",0,UN/LOCODE
,ES,DLC,Llanos de la Concepcion,Llanos de la Concepcion,GC,RL,--3-----,1501,,2828N 01401W,,"28.46667,-14.01667",2,UN/LOCODE
,ES,DLF,Fontanars dels Alforins,Fontanars dels Alforins,V,RL,--3-----,1407,,3847N 00047W,,"38.78333,-0.78333",0,UN/LOCODE
,ES,DLR,Dílar,Dilar,GR,RL,--3-----,1707,,3704N 00336W,,"37.06667,-3.60000",1,UN/LOCODE
